car,time [us],time [s],NIS
0, 8800000, 8.8, 1.28248
0, 8833333, 8.83333, 2.67788
0, 8866666, 8.86667, 1.18317
0, 8900000, 8.9, 4.11441
0, 8933333, 8.93333, 1.30645
0, 8966666, 8.96667, 3.35318
0, 9000000, 9, 2.67651
0, 9033333, 9.03333, 7.67443
0, 9066666, 9.06667, 0.215028
0, 9100000, 9.1, 3.31817
0, 9133333, 9.13333, 1.28794
0, 9166666, 9.16667, 1.10363
0, 9200000, 9.2, 1.09773
0, 9233333, 9.23333, 4.38833
0, 9266666, 9.26667, 1.0447
0, 9300000, 9.3, 4.18507
0, 9333333, 9.33333, 3.11771
0, 9366666, 9.36667, 0.353027
0, 9400000, 9.4, 1.4812
0, 9433333, 9.43333, 2.3568
0, 9466666, 9.46667, 3.1889
0, 9500000, 9.5, 0.428839
0, 9533333, 9.53333, 2.00036
0, 9566666, 9.56667, 1.434
0, 9600000, 9.6, 4.53947
0, 9633333, 9.63333, 0.636521
0, 9666666, 9.66667, 2.98691
0, 9700000, 9.7, 2.70131
0, 9733333, 9.73333, 2.21263
0, 9766666, 9.76667, 3.00355
0, 9800000, 9.8, 0.187149
0, 9833333, 9.83333, 1.0687
0, 9866666, 9.86667, 0.812416
0, 9900000, 9.9, 1.38706
0, 9933333, 9.93333, 8.21453
0, 9966666, 9.96667, 3.83362
1, 0, 0, 31.9987
1, 33333, 0.033333, 2.03054
1, 66666, 0.066666, 3.13627
1, 100000, 0.1, 1.44005
1, 133333, 0.133333, 0.47497
1, 166666, 0.166666, 1.52908
1, 200000, 0.2, 1.58427
1, 233333, 0.233333, 1.04041
1, 266666, 0.266666, 7.23323
1, 300000, 0.3, 0.892395
1, 333333, 0.333333, 4.23464
1, 366666, 0.366666, 2.25467
1, 400000, 0.4, 0.676298
1, 433333, 0.433333, 5.62465
1, 466666, 0.466666, 3.59762
1, 500000, 0.5, 1.18799
1, 533333, 0.533333, 1.00817
1, 566666, 0.566666, 0.830509
1, 600000, 0.6, 2.38068
1, 633333, 0.633333, 3.70082
1, 666666, 0.666666, 5.98592
1, 700000, 0.7, 2.53224
1, 733333, 0.733333, 1.61967
1, 766666, 0.766666, 0.0646888
1, 800000, 0.8, 1.5188
1, 833333, 0.833333, 2.11125
1, 866666, 0.866666, 1.32266
1, 900000, 0.9, 2.53645
1, 933333, 0.933333, 2.47885
1, 966666, 0.966666, 2.81675
1, 1000000, 1, 5.61523
1, 1033333, 1.03333, 0.390791
1, 1066666, 1.06667, 0.407273
1, 1100000, 1.1, 2.51253
1, 1133333, 1.13333, 0.740441
1, 1166666, 1.16667, 0.74314
1, 1200000, 1.2, 4.33042
1, 1233333, 1.23333, 7.76214
1, 1266666, 1.26667, 7.3899
1, 1300000, 1.3, 6.18122
1, 1333333, 1.33333, 5.30441
1, 1366666, 1.36667, 1.24039
1, 1400000, 1.4, 1.03846
1, 1433333, 1.43333, 2.26687
1, 1466666, 1.46667, 1.85745
1, 1500000, 1.5, 5.75323
1, 1533333, 1.53333, 8.3317
1, 1566666, 1.56667, 1.98538
1, 1600000, 1.6, 3.81912
1, 1633333, 1.63333, 1.09556
1, 1666666, 1.66667, 1.99806
1, 1700000, 1.7, 0.851028
1, 1733333, 1.73333, 2.53795
1, 1766666, 1.76667, 0.369866
1, 1800000, 1.8, 3.85302
1, 1833333, 1.83333, 1.47215
1, 1866666, 1.86667, 4.87343
1, 1900000, 1.9, 3.6356
1, 1933333, 1.93333, 4.92169
1, 1966666, 1.96667, 2.07486
1, 2000000, 2, 4.66208
1, 2033333, 2.03333, 1.44513
1, 2066666, 2.06667, 1.43402
1, 2100000, 2.1, 2.94104
1, 2133333, 2.13333, 0.811759
1, 2166666, 2.16667, 2.64947
1, 2200000, 2.2, 0.226655
1, 2233333, 2.23333, 0.166713
1, 2266666, 2.26667, 1.88069
1, 2300000, 2.3, 1.24132
1, 2333333, 2.33333, 2.90605
1, 2366666, 2.36667, 0.156126
1, 2400000, 2.4, 7.86635
1, 2433333, 2.43333, 0.268973
1, 2466666, 2.46667, 8.44119
1, 2500000, 2.5, 4.54607
1, 2533333, 2.53333, 4.85489
1, 2566666, 2.56667, 1.65355
1, 2600000, 2.6, 1.11786
1, 2633333, 2.63333, 2.59782
1, 2666666, 2.66667, 12.8425
1, 2700000, 2.7, 0.565581
1, 2733333, 2.73333, 0.929787
1, 2766666, 2.76667, 8.52188
1, 2800000, 2.8, 4.206
1, 2833333, 2.83333, 1.92455
1, 2866666, 2.86667, 2.42402
1, 2900000, 2.9, 4.51382
1, 2933333, 2.93333, 4.71265
1, 2966666, 2.96667, 2.91209
1, 3000000, 3, 1.7522
1, 3033333, 3.03333, 8.40893
1, 3066666, 3.06667, 1.7394
1, 3100000, 3.1, 4.04069
1, 3133333, 3.13333, 1.77098
1, 3166666, 3.16667, 1.75746
1, 3200000, 3.2, 0.126838
1, 3233333, 3.23333, 2.34738
1, 3266666, 3.26667, 9.95255
1, 3300000, 3.3, 2.7228
1, 3333333, 3.33333, 1.37016
1, 3366666, 3.36667, 7.17446
1, 3400000, 3.4, 0.844681
1, 3433333, 3.43333, 2.98258
1, 3466666, 3.46667, 2.05799
1, 3500000, 3.5, 0.283736
1, 3533333, 3.53333, 0.544461
1, 3566666, 3.56667, 5.40688
